functional.decelerate	functional.alert	functional.steering	functional.status	wbs_impl.power.line1	wbs_impl.power.line2	wbs_impl.power.powerbus1	wbs_impl.power.powerbus1.socket	wbs_impl.power.powerbus2	wbs_impl.power.powerbus2.socket	wbs_impl.blue_pump	wbs_impl.green_pump	wbs_impl.accumulator	wbs_impl.wheel	wbs_impl.wheel.tire	wbs_impl.wheel.brake	wbs_impl.bscu.sub1.mon	wbs_impl.bscu.sub1.cmd	wbs_impl.bscu.sub2.mon	wbs_impl.bscu.sub2.cmd	wbs_impl.bscu.platform.power	wbs_impl.bscu.platform.cpu1	wbs_impl.bscu.platform.cpu1.power-SEI::PowerBudget	wbs_impl.bscu.platform.cpu1.power	wbs_impl.bscu.platform.cpu2	wbs_impl.bscu.platform.cpu2.power-SEI::PowerBudget	wbs_impl.bscu.platform.cpu2.power	Price	ValidModel	InvalidReason	Weight	powerbus1	powerbus2	BrakingPower
1.0	functional::Alert::Alert.lo_quality	functional::Steering::Steering.i1	functional::Status::Status.lo_quality	0.0	0.0	2.0	impl::common::power.heavygauge	0.0	impl::common::power.heavygauge	impl::pump::pump.large	impl::pump::pump.large	impl::pump::pump.small	impl::wheel::wheel_one_input	impl::wheel::tire.hi_quality	impl::wheel::brake.hi_quality	impl::bscu::monitor.i2	1.0	impl::bscu::monitor.i1	impl::bscu::command.i2	impl::common::power.heavygauge	impl::platform::cpu.arm	208.68059	impl::common::power.heavygauge	impl::platform::cpu.arm	239.77652	impl::common::power.heavygauge	6652.0	1.0		14.72	0.44845712	0.0	19.5
1.0	functional::Alert::Alert.lo_quality	functional::Steering::Steering.i1	functional::Status::Status.hi_quality	0.0	1.0	0.0	impl::common::power.heavygauge	2.0	impl::common::power.lightgauge	impl::pump::pump.large	impl::pump::pump.large	impl::pump::pump.small	impl::wheel::wheel_one_input	impl::wheel::tire.hi_quality	impl::wheel::brake.lo_quality	impl::bscu::monitor.i2	1.0	impl::bscu::monitor.i1	impl::bscu::command.i1	impl::common::power.lightgauge	impl::platform::cpu.x86	5.068158	impl::common::power.lightgauge	impl::platform::cpu.x86	28.419619	impl::common::power.lightgauge	6294.0	1.0		14.72	0.03348778	0.0	18.6
1.0	functional::Alert::Alert.hi_quality	functional::Steering::Steering.i1	functional::Status::Status.hi_quality	1.0	0.0	0.0	impl::common::power.lightgauge	0.0	impl::common::power.heavygauge	impl::pump::pump.large	impl::pump::pump.large	impl::pump::pump.small	impl::wheel::wheel_one_input	impl::wheel::tire.lo_quality	impl::wheel::brake.hi_quality	impl::bscu::monitor.i1	1.0	impl::bscu::monitor.i1	impl::bscu::command.i2	impl::common::power.heavygauge	impl::platform::cpu.x86	90.26709	impl::common::power.lightgauge	impl::platform::cpu.x86	159.68567	impl::common::power.heavygauge	6996.5	1.0		17.22	0.24995276	0.0	20.1
1.0	functional::Alert::Alert.hi_quality	functional::Steering::Steering.i1	functional::Status::Status.hi_quality	1.0	1.0	0.0	impl::common::power.lightgauge	2.0	impl::common::power.lightgauge	impl::pump::pump.small	impl::pump::pump.large	impl::pump::pump.small	impl::wheel::wheel_two_inputs	impl::wheel::tire.lo_quality	impl::wheel::brake.hi_quality	impl::bscu::monitor.i1	1.0	impl::bscu::monitor.i2	impl::bscu::command.i1	impl::common::power.lightgauge	impl::platform::cpu.x64	64.2234	impl::common::power.lightgauge	impl::platform::cpu.x64	41.917797	impl::common::power.lightgauge	6646.5	1.0		12.34	0.106141195	0.0	18.6
1.0	functional::Alert::Alert.hi_quality	functional::Steering::Steering.i1	functional::Status::Status.hi_quality	1.0	1.0	2.0	impl::common::power.lightgauge	1.0	impl::common::power.lightgauge	impl::pump::pump.large	impl::pump::pump.large	impl::pump::pump.small	impl::wheel::wheel_two_inputs	impl::wheel::tire.lo_quality	impl::wheel::brake.hi_quality	impl::bscu::monitor.i2	1.0	impl::bscu::monitor.i1	impl::bscu::command.i2	impl::common::power.lightgauge	impl::platform::cpu.arm	206.2287	impl::common::power.heavygauge	impl::platform::cpu.arm	209.36836	impl::common::power.lightgauge	6906.5	1.0		19.22	0.41559705	0.0	20.1
0.0	functional::Alert::Alert.hi_quality	functional::Steering::Steering.i1	functional::Status::Status.hi_quality	0.0	0.0	2.0	impl::common::power.heavygauge	2.0	impl::common::power.heavygauge	impl::pump::pump.small	impl::pump::pump.large	impl::pump::pump.large	impl::wheel::wheel_one_input	impl::wheel::tire.hi_quality	impl::wheel::brake.lo_quality	impl::bscu::monitor.i2	0.0	impl::bscu::monitor.i1	impl::bscu::command.i1	impl::common::power.lightgauge	impl::platform::cpu.x64	94.379684	impl::common::power.heavygauge	impl::platform::cpu.x64	177.64258	impl::common::power.lightgauge	5189.0	1.0		12.22	0.27202228	0.0	11.8
1.0	functional::Alert::Alert.lo_quality	functional::Steering::Steering.i2	functional::Status::Status.hi_quality	0.0	1.0	2.0	impl::common::power.heavygauge	0.0	impl::common::power.lightgauge	impl::pump::pump.large	impl::pump::pump.large	impl::pump::pump.large	impl::wheel::wheel_two_inputs	impl::wheel::tire.lo_quality	impl::wheel::brake.lo_quality	impl::bscu::monitor.i2	1.0	impl::bscu::monitor.i2	impl::bscu::command.i1	impl::common::power.heavygauge	impl::platform::cpu.x86	220.82066	impl::common::power.heavygauge	impl::platform::cpu.x86	117.49304	impl::common::power.heavygauge	6537.0	1.0		17.1	0.3383137	0.0	18.6
0.0	functional::Alert::Alert.hi_quality	functional::Steering::Steering.i2	functional::Status::Status.hi_quality	1.0	0.0	1.0	impl::common::power.lightgauge	0.0	impl::common::power.heavygauge	impl::pump::pump.large	impl::pump::pump.small	impl::pump::pump.large	impl::wheel::wheel_one_input	impl::wheel::tire.lo_quality	impl::wheel::brake.hi_quality	impl::bscu::monitor.i2	0.0	impl::bscu::monitor.i2	impl::bscu::command.i2	impl::common::power.heavygauge	impl::platform::cpu.x64	15.323954	impl::common::power.heavygauge	impl::platform::cpu.x64	258.57877	impl::common::power.heavygauge	7832.0	1.0		21.72	0.2739027	0.0	13.3
1.0	functional::Alert::Alert.lo_quality	functional::Steering::Steering.i1	functional::Status::Status.lo_quality	0.0	0.0	2.0	impl::common::power.heavygauge	2.0	impl::common::power.heavygauge	impl::pump::pump.small	impl::pump::pump.small	impl::pump::pump.small	impl::wheel::wheel_one_input	impl::wheel::tire.hi_quality	impl::wheel::brake.hi_quality	impl::bscu::monitor.i2	1.0	impl::bscu::monitor.i2	impl::bscu::command.i2	impl::common::power.heavygauge	impl::platform::cpu.x64	114.60058	impl::common::power.heavygauge	impl::platform::cpu.x64	116.13142	impl::common::power.heavygauge	7192.0	1.0		7.46	0.230732	0.0	19.5
0.0	functional::Alert::Alert.lo_quality	functional::Steering::Steering.i3	functional::Status::Status.hi_quality	0.0	0.0	0.0	impl::common::power.heavygauge	2.0	impl::common::power.heavygauge	impl::pump::pump.large	impl::pump::pump.small	impl::pump::pump.small	impl::wheel::wheel_one_input	impl::wheel::tire.lo_quality	impl::wheel::brake.lo_quality	impl::bscu::monitor.i1	0.0	impl::bscu::monitor.i2	impl::bscu::command.i1	impl::common::power.lightgauge	impl::platform::cpu.arm	87.712326	impl::common::power.lightgauge	impl::platform::cpu.arm	97.506966	impl::common::power.lightgauge	5897.2	1.0		12.34	0.18521929	0.0	11.8
